,Gate Voltage [V],Channel Voltage [V],Channel Current [A]
0,-9.8,8.0,2.11944e-07
1,-9.6,8.0,2.11306e-07
2,-9.4,8.0,2.11259e-07
3,-9.2,8.0,2.1122e-07
4,-9.0,8.0,2.1122e-07
5,-8.8,8.0,2.11222e-07
6,-8.6,8.0,2.11229e-07
7,-8.4,8.0,2.11239e-07
8,-8.2,8.0,2.11249e-07
9,-8.0,8.0,2.11258e-07
10,-7.8,8.0,2.11268e-07
11,-7.6,8.0,2.11275e-07
12,-7.4,8.0,2.1129e-07
13,-7.2,8.0,2.11293e-07
14,-7.0,8.0,2.11304e-07
15,-6.8,8.0,2.11306e-07
16,-6.6,8.0,2.11317e-07
17,-6.4,8.0,2.11318e-07
18,-6.2,8.0,2.11319e-07
19,-6.0,8.0,2.11321e-07
20,-5.8,8.0,2.11328e-07
21,-5.6,8.0,2.11331e-07
22,-5.4,8.0,2.11333e-07
23,-5.2,8.0,2.1134e-07
24,-5.0,8.0,2.11338e-07
25,-4.8,8.0,2.11343e-07
26,-4.6,8.0,2.1135e-07
27,-4.4,8.0,2.11354e-07
28,-4.2,8.0,2.11346e-07
29,-4.0,8.0,2.11349e-07
30,-3.8,8.0,2.11348e-07
31,-3.6,8.0,2.1135e-07
32,-3.4,8.0,2.1135e-07
33,-3.2,8.0,2.1135e-07
34,-3.0,8.0,2.11348e-07
35,-2.8,8.0,2.11354e-07
36,-2.6,8.0,2.11358e-07
37,-2.4,8.0,2.11363e-07
38,-2.2,8.0,2.11365e-07
39,-2.0,8.0,2.11368e-07
40,-1.8,8.0,2.11373e-07
41,-1.6,8.0,2.11377e-07
42,-1.4,8.0,2.11374e-07
43,-1.2,8.0,2.11376e-07
44,-1.0,8.0,2.11368e-07
45,-0.8,8.0,2.1137e-07
46,-0.599999,8.0,2.11377e-07
47,-0.4,8.0,2.11392e-07
48,-0.2,8.0,2.11383e-07
49,0.0,8.0,2.11369e-07
50,0.2,8.0,2.1137e-07
51,0.400001,8.0,2.1139e-07
52,0.6,8.0,2.11391e-07
53,0.8,8.0,2.1138e-07
54,1.0,8.0,2.11366e-07
55,1.2,8.0,2.11358e-07
56,1.4,8.0,2.11377e-07
57,1.6,8.0,2.11392e-07
58,1.8,8.0,2.1137e-07
59,2.0,8.0,2.11353e-07
60,2.2,8.0,2.11354e-07
61,2.4,8.0,2.1137e-07
62,2.6,8.0,2.11382e-07
63,2.8,8.0,2.11364e-07
64,3.0,8.0,2.1134e-07
65,3.2,8.0,2.11345e-07
66,3.4,8.0,2.11365e-07
67,3.6,8.0,2.11379e-07
68,3.8,8.0,2.11353e-07
69,4.0,8.0,2.11334e-07
70,4.2,8.0,2.11338e-07
71,4.4,8.0,2.11366e-07
72,4.6,8.0,2.11378e-07
73,4.8,8.0,2.11351e-07
74,5.0,8.0,2.11322e-07
75,5.2,8.0,2.11338e-07
76,5.4,8.0,2.11362e-07
77,5.6,8.0,2.11367e-07
78,5.8,8.0,2.11349e-07
79,6.0,8.0,2.11331e-07
80,6.2,8.0,2.11332e-07
81,6.4,8.0,2.11343e-07
82,6.6,8.0,2.1134e-07
83,6.8,8.0,2.11326e-07
84,7.0,8.0,2.11307e-07
85,7.2,8.0,2.11322e-07
86,7.4,8.0,2.11347e-07
87,7.6,8.0,2.11362e-07
88,7.8,8.0,2.11335e-07
89,8.0,8.0,2.11317e-07
90,8.2,8.0,2.11319e-07
91,8.4,8.0,2.11334e-07
92,8.6,8.0,2.11346e-07
93,8.8,8.0,2.1132e-07
94,9.0,8.0,2.11298e-07
95,9.2,8.0,2.11312e-07
96,9.4,8.0,2.11347e-07
97,9.6,8.0,2.11343e-07
98,9.8,8.0,2.11317e-07
99,10.0,8.0,2.11273e-07
